Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
37,,383211.399,2264738.111,1905.117,,-100.11983243,20.47764375,1905.117,Global,0.077,0.069,0.198,0.103,1.686,m,FLOAT,RTK,2026-07-15 17:47:27.9 UTC-06:00,2026-07-15 17:47:32.9 UTC-06:00,26,2.7,3.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,10.935,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
38,,383218.780,2264740.497,1905.145,,-100.11976183,20.47766576,1905.145,Global,0.062,0.064,0.168,0.089,1.686,m,FLOAT,RTK,2026-07-15 17:47:57.1 UTC-06:00,2026-07-15 17:48:02.1 UTC-06:00,26,1.5,1.8,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,13.924,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
39,,383219.367,2264740.718,1904.232,,-100.11975621,20.47766779,1904.232,Global,0.007,0.007,0.018,0.009,1.686,m,FIX,RTK,2026-07-15 17:48:17.1 UTC-06:00,2026-07-15 17:48:22.3 UTC-06:00,27,1.5,1.8,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,14.230,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
40,,383218.769,2264741.192,1904.294,,-100.11976197,20.47767204,1904.294,Global,0.007,0.007,0.018,0.010,1.686,m,FIX,RTK,2026-07-15 17:48:49.7 UTC-06:00,2026-07-15 17:48:54.7 UTC-06:00,26,1.6,1.9,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,13.476,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
41,,383218.377,2264740.642,1904.297,,-100.11976569,20.47766704,1904.297,Global,0.009,0.009,0.014,0.013,1.686,m,FIX,RTK,2026-07-15 17:49:06.7 UTC-06:00,2026-07-15 17:49:11.9 UTC-06:00,27,1.4,1.7,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,13.448,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
42,,383218.218,2264744.420,1904.054,,-100.11976747,20.47770116,1904.054,Global,0.008,0.012,0.020,0.015,1.686,m,FIX,RTK,2026-07-15 17:49:27.9 UTC-06:00,2026-07-15 17:49:32.9 UTC-06:00,26,1.6,1.8,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,11.576,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
43,,383205.228,2264742.529,1904.452,,-100.11989188,20.47768328,1904.452,Global,0.019,0.018,0.053,0.026,1.686,m,FLOAT,RTK,2026-07-15 17:50:07.3 UTC-06:00,2026-07-15 17:50:12.3 UTC-06:00,26,2.1,2.4,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,6.080,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
44,,383206.415,2264744.241,1904.476,,-100.11988061,20.47769881,1904.476,Global,0.021,0.026,0.060,0.033,1.686,m,FLOAT,RTK,2026-07-15 17:50:21.7 UTC-06:00,2026-07-15 17:50:26.9 UTC-06:00,27,2.6,3.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,4.105,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
45,,383203.159,2264746.405,1904.423,,-100.11991197,20.47771817,1904.423,Global,0.022,0.022,0.058,0.031,1.686,m,FLOAT,RTK,2026-07-15 17:50:39.9 UTC-06:00,2026-07-15 17:50:45.1 UTC-06:00,27,2.1,2.5,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,4.540,,Mexico ITRF92 / UTM zone 14N,7,0,0,0,0
46,,383204.798,2264745.456,1904.506,,-100.11989619,20.47770969,1904.506,Global,0.025,0.032,0.061,0.041,1.686,m,FLOAT,RTK,2026-07-15 17:50:56.9 UTC-06:00,2026-07-15 17:51:02.1 UTC-06:00,27,3.6,4.4,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,3.781,,Mexico ITRF92 / UTM zone 14N,7,0,0,0,0
47,,383205.526,2264744.985,1904.489,,-100.11988919,20.47770548,1904.489,Global,0.024,0.024,0.062,0.034,1.686,m,FLOAT,RTK,2026-07-15 17:51:11.1 UTC-06:00,2026-07-15 17:51:16.1 UTC-06:00,26,4.7,5.9,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,3.713,,Mexico ITRF92 / UTM zone 14N,7,0,0,0,0
48,,383205.851,2264745.518,1904.529,,-100.11988610,20.47771032,1904.529,Global,0.026,0.027,0.057,0.037,1.686,m,FLOAT,RTK,2026-07-15 17:51:22.9 UTC-06:00,2026-07-15 17:51:27.9 UTC-06:00,26,2.8,3.4,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,3.081,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
49,,383205.202,2264746.023,1904.660,,-100.11989236,20.47771485,1904.660,Global,0.023,0.025,0.062,0.034,1.686,m,FLOAT,RTK,2026-07-15 17:51:36.7 UTC-06:00,2026-07-15 17:51:41.7 UTC-06:00,26,3.4,4.1,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,3.073,,Mexico ITRF92 / UTM zone 14N,8,0,0,0,0
50,,383198.133,2264756.014,1903.641,,-100.11996079,20.47780467,1903.641,Global,0.022,0.024,0.064,0.033,1.686,m,FLOAT,RTK,2026-07-15 17:52:15.5 UTC-06:00,2026-07-15 17:52:20.7 UTC-06:00,27,1.9,2.3,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,12.045,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
51,,383198.646,2264756.459,1903.589,,-100.11995590,20.47780872,1903.589,Global,0.023,0.024,0.064,0.034,1.686,m,FLOAT,RTK,2026-07-15 17:52:28.5 UTC-06:00,2026-07-15 17:52:33.7 UTC-06:00,27,2.0,2.4,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,11.948,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
52,,383198.018,2264757.076,1903.610,,-100.11996195,20.47781426,1903.610,Global,0.021,0.024,0.062,0.032,1.686,m,FLOAT,RTK,2026-07-15 17:52:42.5 UTC-06:00,2026-07-15 17:52:47.7 UTC-06:00,27,2.0,2.4,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,12.835,,Mexico ITRF92 / UTM zone 14N,10,0,0,0,0
53,,383197.506,2264756.649,1903.680,,-100.11996684,20.47781036,1903.680,Global,0.021,0.024,0.061,0.032,1.686,m,FLOAT,RTK,2026-07-15 17:52:57.7 UTC-06:00,2026-07-15 17:53:02.9 UTC-06:00,27,1.8,2.2,383207.295,2264748.234,1905.857,-100.11987243,20.47773495,1905.857,12.925,,Mexico ITRF92 / UTM zone 14N,9,0,0,0,0
